"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"verso5 (online-audio-converter.com).mp3:Zone.Identifier"	".Identifier"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:27:52 BRT"	"147"	"77"	"aaac33e4562f6e7ec6e5960fa427ebf2"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso5 (online-audio-converter.com).mp3:Zone.Identifier"
"verso5 (online-audio-converter.com).mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:28:19 BRT"	"7042"	"78"	"e3f66585c9afc56ed41582b11488fc4e"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso5 (online-audio-converter.com).mp3.reapeaks"
"verso5 (online-audio-converter.com).mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:28:19 BRT"	"1150"	"78"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso5 (online-audio-converter.com).mp3.reapeaks-slack"
"verso6.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"350572"	"79"	"7a2747c6982ffd2f8b244cdfb40bbab9"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso6.mp3"
"verso6.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"1684"	"79"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso6.mp3-slack"
"verso6.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:30:50 BRT"	"11234"	"80"	"76462d7cc37efa3a8397a607810d74a2"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso6.mp3.reapeaks"
"verso6.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:30:50 BRT"	"1054"	"80"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso6.mp3.reapeaks-slack"
"verso7.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"268972"	"81"	"1df234a3ec9dc4a96b5d2d89028f53a0"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso7.mp3"
"verso7.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"1364"	"81"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso7.mp3-slack"
"verso7.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:34:43 BRT"	"8614"	"82"	"730ad17d727437681f51826319422d0a"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso7.mp3.reapeaks"
